"","Dispatching_base_num","numOutput","year","month","day","hour","Borough","Zone","ZipCode","Date","TemperatureF","Preci","Events"
"74","B02512",78,2015,1,4,1,"Manhattan","West Village","10014","2015/1/4 1:51",43,"0.02","Rain"
"75","B02512",104,2015,1,4,2,"Manhattan","East Village","10009","2015/1/4 2:29",43,"0.01","Rain"
"76","B02512",68,2015,1,4,3,"Manhattan","Lincoln Square East","10023","2015/1/4 3:08",43,"N/A",""
"77","B02512",30,2015,1,4,4,"Queens","Woodside","11377","2015/1/4 4:51",42.1,"N/A",""
"78","B02512",16,2015,1,4,5,"Brooklyn","Williamsburg (North Side)","11249","2015/1/4 5:09",45,"N/A",""
"79","B02512",17,2015,1,4,6,"Queens","JFK Airport","11430","2015/1/4 6:51",45,"0",""
"80","B02512",11,2015,1,4,7,"Manhattan","Central Harlem North","10035","2015/1/4 7:51",44.1,"0.04",""
"81","B02512",18,2015,1,4,8,"Manhattan","Midtown South","10036","2015/1/4 8:51",45,"N/A",""
"82","B02512",96,2015,1,4,9,"Manhattan","Clinton West","10019","2015/1/4 9:51",46,"0",""
"83","B02512",56,2015,1,4,10,"Manhattan","Upper East Side North","10075","2015/1/4 10:51",46.9,"0.01",""
"84","B02512",54,2015,1,4,11,"Manhattan","Central Park","10019","2015/1/4 11:51",50,"N/A",""
"85","B02512",165,2015,1,4,12,"Manhattan","Stuy Town/Peter Cooper Village","10009","2015/1/4 12:43",51.1,"N/A",""
"86","B02512",43,2015,1,4,13,"Manhattan","TriBeCa/Civic Center","11201","2015/1/4 13:51",50,"N/A",""
"87","B02512",102,2015,1,4,14,"Brooklyn","Marine Park/Mill Basin","11229","2015/1/4 14:51",52,"N/A",""
"88","B02512",84,2015,1,4,15,"Queens","LaGuardia Airport","11371","2015/1/4 15:51",54,"N/A",""
"89","B02512",50,2015,1,4,16,"Manhattan","West Chelsea/Hudson Yards","10014","2015/1/4 16:51",55,"N/A",""
"90","B02512",54,2015,1,4,17,"Queens","JFK Airport","11430","2015/1/4 17:51",55,"N/A",""
"91","B02512",171,2015,1,4,18,"Queens","JFK Airport","11430","2015/1/4 18:30",55.9,"N/A",""
"92","B02512",61,2015,1,4,19,"Brooklyn","Bedford","11216","2015/1/4 19:51",53.1,"0.01","Rain"
"93","B02512",84,2015,1,4,20,"Manhattan","Garment District","10018","2015/1/4 20:51",53.1,"0.05","Rain"
"94","B02512",36,2015,1,4,21,"Manhattan","Garment District","10018","2015/1/4 21:51",52,"0.01","Rain"
"95","B02512",35,2015,1,4,22,"Queens","Laurelton","11413","2015/1/4 22:51",51.1,"0",""
"96","B02512",30,2015,1,4,23,"Manhattan","East Village","10009","2015/1/4 23:51",50,"N/A",""
"97","B02512",24,2015,1,5,0,"Manhattan","TriBeCa/Civic Center","11201","2015/1/5 0:51",46.9,"N/A",""
"98","B02512",15,2015,1,5,1,"Queens","Maspeth","11378","2015/1/5 1:51",46,"N/A",""
"99","B02512",7,2015,1,5,2,"Brooklyn","East Flatbush/Remsen Village","11212","2015/1/5 2:51",44.1,"N/A",""
"100","B02512",3,2015,1,5,3,"Manhattan","Midtown Center","10176","2015/1/5 3:51",43,"N/A",""
"101","B02512",5,2015,1,5,4,"Manhattan","World Trade Center","10006","2015/1/5 4:51",42.1,"N/A",""
"102","B02512",6,2015,1,5,5,"Manhattan","Lincoln Square West","10023","2015/1/5 5:51",41,"N/A",""
"103","B02512",29,2015,1,5,6,"Manhattan","Upper West Side North","10024","2015/1/5 6:51",41,"N/A",""
"104","B02512",52,2015,1,5,7,"Manhattan","East Chelsea","10011","2015/1/5 7:51",39,"N/A",""
"105","B02512",63,2015,1,5,8,"Manhattan","West Chelsea/Hudson Yards","10014","2015/1/5 8:51",39,"N/A",""
"106","B02512",55,2015,1,5,9,"Brooklyn","Greenpoint","11222","2015/1/5 9:51",37.9,"N/A",""
"107","B02512",37,2015,1,5,10,"Manhattan","Upper West Side North","10024","2015/1/5 10:51",36,"N/A",""
"108","B02512",33,2015,1,5,11,"Manhattan","Union Sq","10003","2015/1/5 11:51",36,"N/A",""
"109","B02512",38,2015,1,5,12,"Manhattan","East Chelsea","10011","2015/1/5 12:51",36,"N/A",""
"110","B02512",31,2015,1,5,13,"Manhattan","Central Harlem North","10035","2015/1/5 13:51",36,"N/A",""
"111","B02512",44,2015,1,5,14,"Manhattan","Yorkville East","10028","2015/1/5 14:51",34,"N/A",""
